t,q1,q2,q3,q4,q5,q6
0,0,-1.0471975511966,1.5707963267949,-1.5707963267949,-1.5707963267949,0
0.01,-0.000157043659524278,-1.04736234172047,1.5709765329446,-1.57090547242833,-1.57079632679364,0.000124146359773798
0.02,-0.00120436886056593,-1.04846005889459,1.57217870884316,-1.57163501719163,-1.57079632678529,0.000952079251666383
0.03,-0.00389336988373002,-1.05127454598058,1.57526645145113,-1.57351317728028,-1.5707963267639,0.00307779186765076
0.04,-0.00883212739582947,-1.05643592288101,1.5809399043284,-1.57697290348702,-1.5707963267247,0.00698198493326866
0.05,-0.0164944281878084,-1.06443039051087,1.58974600623949,-1.58235770878013,-1.57079632666405,0.013039197002731
0.06,-0.0272287849126654,-1.07561003516897,1.6020887397588,-1.58992749588161,-1.57079632657932,0.0215249347540184
0.07,-0.0412674558233772,-1.09020263290938,1.61823937987587,-1.59986438484547,-1.57079632646884,0.0326228032839816
0.08,-0.0587354645108216,-1.10832145391281,1.63834674260064,-1.61227854063599,-1.57079632633184,0.0464316364034424
0.09,-0.0796596196417014,-1.12997506685811,1.66244743356876,-1.62721400070589,-1.57079632616833,0.0629726269322933
0.1,-0.103977534696467,-1.15507714329363,1.69047609664678,-1.64465450257466,-1.57079632597907,0.0821964569945991
0.11,-0.131546647707241,-1.18345626200869,1.72227566253749,-1.66452931140674,-1.57079632576544,0.103990428313696
0.12,-0.16215324099574,-1.21486571340496,1.75760759738511,-1.68671904758981,-1.57079632552943,0.128185592507294
0.13,-0.195521460911199,-1.24899330386795,1.79616215138064,-1.71106151431301,-1.57079632527351,0.154563881382576
0.14,-0.231322337568295,-1.28547116013836,1.83756860736704,-1.73735752514519,-1.57079632500059,0.182865237231298
0.15,-0.26918280458507,-1.32388553368357,1.88140552944455,-1.76537673161314,-1.5707963247139,0.21279474312489
0.16,-0.308694718820853,-1.36378660506904,1.92721101157595,-1.79486345077986,-1.57079632441696,0.244029753209559
0.17,-0.349423880114185,-1.40469828832972,1.97449292619178,-1.82554249282279,-1.5707963241135,0.276227023001385
0.18,-0.390919051020744,-1.4461280353415,2.02273917279568,-1.85712498861206,-1.57079632380733,0.309029839681423
0.19,-0.432720976551264,-1.48757664019263,2.07142792656957,-1.88931421728873,-1.57079632350234,0.342075152390808
0.2,-0.474371403909463,-1.52854804355512,2.12003788697898,-1.92181143384303,-1.57079632320237,0.375000702525849
0.21,-0.515422102229961,-1.56855913705623,2.1680585263783,-1.95432169669261,-1.57079632291115,0.407452154033131
0.22,-0.55544388231621,-1.60714956764981,2.21500033861601,-1.98655969526079,-1.57079632263223,0.43909022370462
0.23,-0.594035616378412,-1.64389154198779,2.26040508764,-2.0182555775548,-1.57079632236889,0.469597811472758
0.24,-0.630833257771444,-1.67839963079159,2.30385605610278,-2.04916077774401,-1.57079632212408,0.498687130705568
0.25,-0.665518860732783,-1.71034057322353,2.34498829396679,-2.0790538437382,-1.57079632190035,0.526106838501748
0.26,-0.697829600120427,-1.73944308125826,2.38349886710963,-2.10774626476578,-1.57079632169972,0.551649165985781
0.27,-0.727566791150819,-1.76550764405422,2.41915710592935,-2.13508829895207,-1.5707963215237,0.575157048603028
0.28,-0.754604909136772,-1.788416332325,2.4518148539497,-2.16097480089749,-1.5707963213731,0.59653125641483
0.29,-0.778900609225391,-1.80814260271082,2.4814167164254,-2.18535104925585,-1.57079632124805,0.615737524393608
0.3,-0.800501746135994,-1.82476110214995,2.5080103089474,-2.20821857431257,-1.57079632114788,0.63281368271797
0.31,-0.819556393898043,-1.83845747225011,2.53175650604815,-2.22964098556296,-1.57079632107104,0.647876787067801
0.32,-0.836321865589059,-1.84953815365991,2.55293968980688,-2.24974979929039,-1.57079632101504,0.661130248919372
0.33,-0.851173733072545,-1.85844019044028,2.57197799845482,-2.26875026614464,-1.57079632097637,0.672870965840435
0.34,-0.86461484673592,-1.86574103443589,2.58943357498051,-2.28692719872003,-1.57079632095041,0.683496451785329
0.35,-0.877284355228429,-1.87216834964657,2.60602281573504,-2.30465079913377,-1.57079632093138,0.693511967390073
0.36,-0.889757918269525,-1.87834528708908,2.62240109403808,-2.32229686669201,-1.57079632091424,0.703372583931095
0.37,-0.901895162025574,-1.88397885914803,2.63845320044472,-2.33995939877774,-1.57079632090092,0.712967332870368
0.38,-0.91340820654183,-1.88860783836734,2.65389864214516,-2.35764731163036,-1.57079632089468,0.722068638935971
0.39,-0.924059281515601,-1.89185583557231,2.66850422475765,-2.37536188910436,-1.57079632089825,0.730488539610957
0.4,-0.933657719717148,-1.89342605646613,2.68208126569536,-2.39309744499162,-1.57079632091382,0.738076308368021
0.41,-0.942056950410584,-1.89309605822641,2.69448280753333,-2.41084198534371,-1.57079632094308,0.744716077904168
0.42,-0.94915149277477,-1.89071250610166,2.70560083137534,-2.42857787079415,-1.57079632098728,0.750324463375387
0.43,-0.954873949324216,-1.8861859300078,2.71536347022087,-2.44628247888078,-1.57079632104723,0.754848185631319
0.44,-0.959191999329977,-1.87948548112473,2.72373222233199,-2.46392886636797,-1.57079632112335,0.758261694449927
0.45,-0.962105392240553,-1.87063368849279,2.73069916460025,-2.48148643156898,-1.5707963212157,0.760564791772166
0.46,-0.963642941102787,-1.85970121560927,2.73628416591364,-2.49892157666823,-1.57079632132402,0.761780254936654
0.47,-0.963859515982762,-1.84680161702496,2.74053210052344,-2.5161983700436,-1.57079632144776,0.761951459914343
0.48,-0.962833037386703,-1.83208609494065,2.74351006141118,-2.53327920858874,-1.57079632158608,0.761140004543185
0.49,-0.960661469681871,-1.81573825580363,2.74530457365556,-2.55012548003533,-1.57079632173795,0.759423331762808
0.5,-0.957459814517462,-1.7979688669042,2.74601880779929,-2.56669822527541,-1.57079632190213,0.756892352849183
0.51,-0.953357104245509,-1.77901061297223,2.7457697932161,-2.58295880068368,-1.57079632207721,0.753649070649292
0.52,-0.948493395341778,-1.75911285277359,2.74468563147756,-2.59886954043976,-1.57079632226167,0.749804202815803
0.53,-0.943016761826664,-1.73853637570675,2.74290270972006,-2.61439441885053,-1.57079632245388,0.745474805041738
0.54,-0.937080288686092,-1.71754815839925,2.74056291401168,-2.62949971267239,-1.57079632265217,0.74078189429514
0.55,-0.930839065292418,-1.69641612130419,2.73781084271912,-2.64415466343359,-1.5707963228548,0.735848072053748
0.56,-0.92444717882532,-1.6754038852968,2.73479101987462,-2.65833213975649,-1.57079632306008,0.730795147539666
0.57,-0.918054707692704,-1.65476552827092,2.73164510854283,-2.67200929967989,-1.57079632326633,0.72574176095403
0.58,-0.911804714951597,-1.63474034173552,2.72850912418777,-2.6851682529813,-1.57079632347195,0.720801006711683
0.59,-0.905830241729047,-1.61554758741118,2.72551064803973,-2.69779672349926,-1.57079632367545,0.716078056675841
