t_s,force_normal_N,force_filtered_N,force_measured_N,force_desired_N,penetration_mm,ee_z_m,cmd_z_m,ee_z_velocity_mps,closing_velocity_mps,phase
0.05,0,0.0177902984375847,0,14.5,0,0.148543653819082,0.142768595041322,-0.0803680077460583,0.0803680077460583,approach
0.051,0,0.0219292285487099,0.0467628092154611,14.5,0,0.14846047177867,0.142503316115702,-0.0831754833897841,0.0831754833897841,approach
0.052,0,0.0187964816131799,0,14.5,0,0.148374454996286,0.142234380165289,-0.0860097874945781,0.0860097874945781,approach
0.053,0,0.0189615898122313,0.01995223900654,14.5,0,0.148285577803646,0.141961849173554,-0.0888697425694168,0.0888697425694168,approach
0.054,0,0.0180427221333599,0.0125295160601316,14.5,0,0.148193815707187,0.141685785123967,-0.0917541738166727,0.0917541738166727,approach
0.055,0,0.0248475511540944,0.0656765252785014,14.5,0,0.148099145385108,0.14140625,-0.0946619094253351,0.0946619094253351,approach
0.056,0,0.0271131771193322,0.0407069329107591,14.5,0,0.14800154468412,0.141123305785124,-0.0975917808606,0.0975917808606,approach
0.057,0,0.0232398661022848,0,14.5,0,0.147900992615902,0.14083701446281,-0.100542623149738,0.100542623149738,approach
0.058,0,0.0199198852305298,0,14.5,0,0.147797469353287,0.140547438016529,-0.103513275164148,0.103513275164148,approach
0.059,0,0.0170741873404541,0,14.5,0,0.14769095622616,0.140254638429752,-0.106502579897517,0.106502579897517,approach
0.06,0,0.0146350177203893,0,14.5,0,0.14758143571709,0.13995867768595,-0.109509384739986,0.109509384739986,approach
0.061,0,0.0138469131629882,0.00911828581858198,14.5,0,0.147468891456683,0.139659617768595,-0.112532541748247,0.112532541748247,approach
0.062,0,0.0139846977683344,0.0148114054004115,14.5,0,0.147353308218681,0.139357520661157,-0.115570907911479,0.115570907911479,approach
0.063,0,0.0199421687395916,0.055686994567135,14.5,0,0.147234671914783,0.139052448347107,-0.118623345413049,0.118623345413049,approach
0.064,0,0.0232183249154066,0.0428752619702963,14.5,0,0.147112969589227,0.138744462809917,-0.121688721887885,0.121688721887885,approach
0.065,0,0.0199014213560628,0,14.5,0,0.146988189413104,0.138433626033058,-0.124765910675444,0.124765910675444,approach
0.066,0,0.0170583611623395,0,14.5,0,0.146860320678432,0.13812,-0.127853791068211,0.127853791068211,approach
0.067,0,0.0179135066325863,0.0230443794540666,14.5,0,0.146729353791981,0.137803646694215,-0.130951248555626,0.130951248555626,approach
0.068,0,0.0153544342565025,0,14.5,0,0.146595280268861,0.137484628099174,-0.134057175063388,0.134057175063388,approach
0.069,0,0.0131609436484307,0,14.5,0,0.146458092725878,0.137163006198347,-0.137170469188051,0.137170469188051,approach
0.07,0,0.0127792314590438,0.0104889583227226,14.5,0,0.146317784874651,0.136838842975207,-0.140290036426847,0.140290036426847,approach
0.071,0,0.0109536269648947,0,14.5,0,0.146174351514514,0.136512200413223,-0.14341478940266,0.14341478940266,approach
0.072,0,0.0169942878810781,0.0532382533781782,14.5,0,0.146027788525191,0.136183140495868,-0.146543648084098,0.146543648084098,approach
0.073,0,0.0222927488901298,0.0540835149444404,14.5,0,0.145878092859259,0.135851725206612,-0.14967554000058,0.14967554000058,approach
0.074,0,0.0191080704772542,0,14.5,0,0.145725262534396,0.135518016528926,-0.152809400452393,0.152809400452393,approach
0.075,0,0.0171359949549556,0.00530354182116453,14.5,0,0.145569296625432,0.135182076446281,-0.155944172715652,0.155944172715652,approach
0.076,0,0.0213746559832626,0.0468066221531043,14.5,0,0.14541019525619,0.134843966942149,-0.159078808242109,0.159078808242109,approach
0.077,0,0.0286048386794926,0.0719859348568726,14.5,0,0.145247959591138,0.13450375,-0.162212266853743,0.162212266853743,approach
