t_s,force_normal_N,force_filtered_N,force_measured_N,force_desired_N,penetration_mm,ee_z_m,cmd_z_m,ee_z_velocity_mps,closing_velocity_mps,phase
0,0,0,0,11.6,0,0.149999994323105,0.15,0,0,approach
0.001,0,0,0,11.6,0,0.149999994324321,0.149996601239669,1.21532500625011e-09,0,approach
0.002,0,0.0035136302494089,0.0245954117458623,11.6,0,0.149999912457286,0.149986446280992,-8.18670277252592e-05,8.18670277252592e-05,approach
0.003,0,0.00337762504844086,0.00256159384263265,11.6,0,0.149999667735275,0.149969597107438,-0.000244721947339053,0.000244721947339053,approach
0.004,0,0.00289510718437788,0,11.6,0,0.14999918006911,0.149946115702479,-0.000487665913440574,0.000487665913440574,approach
0.005,0,0.00248152044375247,0,11.6,0,0.149998370281582,0.149916064049587,-0.000809786836157594,0.000809786836157594,approach
0.006,0,0.00844979225976309,0.0442594231558268,11.6,0,0.149997160121488,0.149879504132231,-0.00121015855251272,0.00121015855251272,approach
0.007,0,0.00789873782753365,0.00459241123415699,11.6,0,0.149995472277285,0.149836497933884,-0.00168784121142765,0.00168784121142765,approach
0.008,0,0.0123696979478234,0.0391954586695621,11.6,0,0.149993230390361,0.149787107438017,-0.00224188165712307,0.00224188165712307,approach
0.009,0,0.0205044992922732,0.0693133073589719,11.6,0,0.149990359067931,0.149731394628099,-0.0028713138109895,0.0028713138109895,approach
0.01,0,0.0250411458114546,0.052261024926543,11.6,0,0.149986783895548,0.149669421487603,-0.00357515905199724,0.00357515905199724,approach
0.011,0,0.0214638392669611,0,11.6,0,0.149982431449238,0.14960125,-0.00435242659570651,0.00435242659570651,approach
0.012,0,0.0183975765145381,0,11.6,0,0.14997722930727,0.14952694214876,-0.00520211387193141,0.00520211387193141,approach
0.013,0,0.0179368687804802,0.0151726223761331,11.6,0,0.14997110606153,0.149446559917355,-0.00612320690110461,0.00612320690110461,approach
0.014,0,0.0153744589546973,0,11.6,0,0.149963991328548,0.149360165289256,-0.00711468066938228,0.00711468066938228,approach
0.015,0,0.0189787609124695,0.0406045726591022,11.6,0,0.149955815760129,0.149267820247934,-0.00817549950252178,0.00817549950252178,approach
0.016,0,0.0254729480436015,0.0644380708303938,11.6,0,0.149946511053629,0.14916958677686,-0.00930461743855794,0.00930461743855794,approach
0.017,0,0.0309435929036311,0.0637674620638089,11.6,0,0.149936009961856,0.149065526859504,-0.0105009785992966,0.0105009785992966,approach
0.018,0,0.0265230796316838,0,11.6,0,0.1499242463026,0.148955702479339,-0.0117635175606382,0.0117635175606382,approach
0.019,0,0.0338179582918301,0.0775872302527077,11.6,0,0.149911154967802,0.148840175619835,-0.0130911597217368,0.0130911597217368,approach
0.02,0,0.0289868213929972,0,11.6,0,0.149896671932346,0.148719008264463,-0.0144828216729943,0.0144828216729943,approach
