t,force,peak_force,contact_count,success,hammer_x,hammer_y,hammer_z
0.0,0,0.0,0,0.0,0.6016426913512304,0.10915001018596762,0.1574347673558197
0.005,0,0.0,0,0.0,0.60162866752215,0.10912192902125491,0.15744153088787807
0.01,0,0.0,0,0.0,0.6016085161850483,0.10908170822386343,0.15745117587682853
0.015,0,0.0,0,0.0,0.6015083060958758,0.10888122613072775,0.15749942689128799
0.02,0,0.0,0,0.0,0.6013734912524323,0.10861209010748998,0.15756411660240147
0.025,0,0.0,0,0.0,0.6010876826875085,0.10804347148433706,0.15770067989897596
0.03,0,0.0,0,0.0,0.6007314489365181,0.1073603848826062,0.15787088643227948
0.035,0,0.0,0,0.0,0.6001778799900221,0.10625904374073798,0.1581307445637547
0.04,0,0.0,0,0.0,0.5995266137839497,0.1049746579644712,0.1584332538898256
0.045,0,0.0,0,0.0,0.598602798605176,0.10320392122271242,0.1588574189607626
0.05,0,0.0,0,0.0,0.597565010099691,0.10123589214578285,0.15932534546029734
0.055,0,0.0,0,0.0,0.5962311936080488,0.09873346281382397,0.1599137853079031
0.06,0,0.0,0,0.0,0.5947494285768492,0.09601075498927142,0.16055128376807912
0.065,0,0.0,0,0.0,0.5929328141237284,0.09272917266584119,0.1613105885102671
0.07,0,0.0,0,0.0,0.5909393160421458,0.08922664103301173,0.16211600228716602
0.075,0,0.0,0,0.0,0.588568943533245,0.08516451948682238,0.16304107893098888
0.08,0,0.0,0,0.0,0.5860024802904867,0.08089801443602776,0.16400176103495334
0.085,0,0.0,0,0.0,0.5830239925055102,0.07610040378091654,0.16506827491920137
0.09,0,0.0,0,0.0,0.5798270194892253,0.07112528757308052,0.16615801342524456
0.095,0,0.0,0,0.0,0.5761943223677374,0.06567235314427222,0.16733281795886484
0.1,0,0.0,0,0.0,0.5723212767056934,0.060080051824873894,0.16851522396382398
0.105,0,0.0,0,0.0,0.5679970370622441,0.05408279355346687,0.16975699977307238
0.11,0,0.0,0,0.0,0.5634151769298645,0.0479943522686288,0.1709881114143562
0.115,0,0.0,0,0.0,0.5583780113088577,0.04158955171376198,0.17224938008595336
0.12,0,0.0,0,0.0,0.5530729210690782,0.03514941674441208,0.17348003693842462
0.125,0,0.0,0,0.0,0.5473223924307828,0.02849248670538889,0.17470988441758445
0.13,0,0.0,0,0.0,0.5413026400768555,0.021860759827116993,0.1758886362381964
0.135,0,0.0,0,0.0,0.5348633110768696,0.015117460823127652,0.1770357655869569
0.14,0,0.0,0,0.0,0.5281639593547001,0.008461194832384706,0.178112005085379
0.145,0,0.0,0,0.0,0.5210879715775433,0.0017986059010651099,0.17912788118458112
0.15,0,0.0,0,0.0,0.5137723652307076,-0.004717419035724745,0.18005498889810576
0.155,0,0.0,0,0.0,0.5061400262232297,-0.01114011335516726,0.18089687574238877
0.16,0,0.0,0,0.0,0.498299436234753,-0.017362529356529047,0.18163517115307062
0.165,0,0.0,0,0.0,0.4902175333182349,-0.02340272480435876,0.1822688599763714
0.17,0,0.0,0,0.0,0.4819685029525296,-0.029197893891068274,0.1827881572018312
0.17500000000000002,0,0.0,0,0.0,0.4735663822683353,-0.03473705864673344,0.18319018043270546
0.18,0,0.0,0,0.0,0.4650459376464291,-0.03999788740796331,0.18347175474266036
0.185,0,0.0,0,0.0,0.45646966527989086,-0.044947203703544464,0.18363091561614797
0.19,0,0.0,0,0.0,0.44782883076919966,-0.04959788182731025,0.18366872353102037
0.195,0,0.0,0,0.0,0.4392340049548891,-0.05390154480786143,0.18358681432936894
0.2,0,0.0,0,0.0,0.43063027156990197,-0.05789979607426228,0.18338786549986283
0.20500000000000002,0,0.0,0,0.0,0.42217421485440415,-0.06153574185464346,0.18307950587038893
0.21,0,0.0,0,0.0,0.41376366598362985,-0.0648731405311287,0.1826633260391377
0.215,0,0.0,0,0.0,0.40559771177998166,-0.0678515959429921,0.18215491243648013
0.22,0,0.0,0,0.0,0.3975278571045332,-0.07054833902043882,0.181552242999476
0.225,0,0.0,0,0.0,0.3897907970108321,-0.0729058373451756,0.1808801508998476
0.23,0,0.0,0,0.0,0.38219417388298316,-0.07500903636754964,0.18013070894273533
0.23500000000000001,0,0.0,0,0.0,0.3750060387742665,-0.07680781888636094,0.17933865690225653
0.24,0,0.0,0,0.0,0.36799509096053795,-0.0783850319003433,0.17848842904513018
0.245,0,0.0,0,0.0,0.36145452989195737,-0.079698522775666,0.1776246023382768
0.25,0,0.0,0,0.0,0.35511920895666055,-0.08082794786183463,0.17672275366539847
0.255,0,0.0,0,0.0,0.34930003666922876,-0.08174048061672576,0.17583642544282344
0.26,0,0.0,0,0.0,0.34370555274124454,-0.08250677875774383,0.1749319233957629
0.265,0,0.0,0,0.0,0.3386564718820662,-0.08310366840011607,0.1740701665314443
0.27,0,0.0,0,0.0,0.333843157319626,-0.08359031988474969,0.17320854007435776
